Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A83,1300,5,A,2000,50,A,2.82,0.1,A,1460,160,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.24,0.15,A,0.76,0.15,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A84,1300,5,A,2000,50,A,2.12,0.16,A,1170,120,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.25,0.23,A,0.75,0.23,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A87,1300,5,A,2000,50,A,1.45,0.07,A,1310,140,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.35,0.28,A,0.65,0.28,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A82,1300,5,A,2000,50,A,0.83,0.09,A,1380,140,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,6.912,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.15,0.25,A,0.85,0.25,CALC,T,99.722,57.60012836,4.943743607,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A75,1300,5,A,5000,50,A,7.97,0.28,A,3210,340,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.49,0.17,A,0.51,0.17,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A76,1300,5,A,5000,50,A,5.57,0.11,A,3630,380,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.46,0.16,A,0.54,0.16,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A77,1300,5,A,5000,50,A,3.11,0.05,A,3740,380,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.17,0.24,A,0.83,0.24,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A74,1300,5,A,5000,50,A,0.89,0.09,A,4510,460,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.18,0.22,A,0.82,0.22,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A79,1200,5,A,2000,50,A,3.33,0.14,A,1010,118,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.2,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.45,0.15,A,0.55,0.15,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,N
Botcharnikov et al. (2006) Chem. Geol. 229(1-3):125-143,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A80,1200,5,A,2000,50,A,3.04,0.05,A,1300,130,A,57.44,,NR,17.53,,NR,3.32,,NR,4.31,,NR,7.42,,NR,1.06,,NR,7.128,,NR,0.12,,NR,1.61,,NR,,,ND,,,ND,[+1.5 to +4],DFMQ,,,0.21,0.21,A,0.79,0.21,CALC,F,99.938,57.47563489,4.933058496,diamond,#029e73,Y,N,Y,N,N
